guide_id,role,department,seniority,job_family,task_id,task_order,phase,category,task_name,task_description,action_required_by,task_owner,due_offset_days,required,expected_evidence,approved_next_step,next_step_owner,reminder_template,escalation_rule,source_type,source_reference,ml_training_text
G017,Database Manager,IT,Manager,Technical,G017-T16,16,Role Setup,Database Management,Get database management access,Receive approved access to database management tools and environments.,IT,IT,3,True,Task completion confirmation,Complete or confirm: Get database management access,IT,Please complete the required onboarding task: Get database management access.,Escalate to the role manager if Get database management access is overdue.,Synthetic role-specific guide,G017,Database Manager. Get database management access. Receive approved access to database management tools and environments.. Owner: IT.
G017,Database Manager,IT,Manager,Technical,G017-T17,17,Role Setup,Governance,Review database governance,"Review database ownership, standards and change controls.",Employee,IT Manager,5,True,Task completion confirmation,Complete or confirm: Review database governance,Employee,Please complete the required onboarding task: Review database governance.,Escalate to the role manager if Review database governance is overdue.,Synthetic role-specific guide,G017,"Database Manager. Review database governance. Review database ownership, standards and change controls.. Owner: IT Manager."
G017,Database Manager,IT,Manager,Technical,G017-T18,18,Role Setup,Operations,Review database continuity process,"Review backup, recovery and availability procedures.",Employee,IT Manager,5,True,Task completion confirmation,Complete or confirm: Review database continuity process,Employee,Please complete the required onboarding task: Review database continuity process.,Escalate to the role manager if Review database continuity process is overdue.,Synthetic role-specific guide,G017,"Database Manager. Review database continuity process. Review backup, recovery and availability procedures.. Owner: IT Manager."
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T01,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,Employee,HR,0,True,Identity documents submitted,Request the missing identity document,HR,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,Synthetic onboarding guide,G018,IT Support Specialist. Submit identity verification documents. Upload the required identity documents for employment verification.. Owner: HR.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T02,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,Employee,HR,0,True,Signed employment agreement,Complete and sign the employment agreement,HR,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,Synthetic onboarding guide,G018,IT Support Specialist. Review and sign employment agreement. Review the employment agreement and electronically sign it before the joining date.. Owner: HR.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T03,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Employee,Finance/HR,1,True,Payroll information submitted,Submit the missing payroll information,Employee,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,Synthetic onboarding guide,G018,IT Support Specialist. Submit payroll and bank information. Provide the approved payroll information required to process salary payments.. Owner: Finance/HR.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T04,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,Employee,HR,1,True,Completed HR form,Complete the employee information form,Employee,Please complete your employee information form.,Escalate to HR if incomplete.,Synthetic onboarding guide,G018,IT Support Specialist. Complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.. Owner: HR.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T05,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,Employee,HR,2,True,Policy acknowledgement,Review and acknowledge required policies,Employee,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,Synthetic onboarding guide,G018,IT Support Specialist. Acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.. Owner: HR.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T06,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,1,True,Email activation confirmation,IT should create and activate the company email,IT,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,Synthetic onboarding guide,G018,IT Support Specialist. Create company email account. IT creates the employee's corporate email account and confirms activation.. Owner: IT.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T07,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,2,True,Device assignment confirmation,IT should provision and assign the workstation,IT,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,Synthetic onboarding guide,G018,IT Support Specialist. Provision laptop/workstation. IT prepares the approved laptop or workstation and records the device assignment.. Owner: IT.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T08,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,2,True,Access provisioning record,IT should provision standard role access,IT,Your standard system access is being prepared.,Escalate to IT if access is overdue.,Synthetic onboarding guide,G018,IT Support Specialist. Provision standard system access. IT provisions the standard applications and access required for the employee's role.. Owner: IT.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T09,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",Employee,HR,0,True,Orientation attendance,Attend the company orientation,Employee,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,Synthetic onboarding guide,G018,"IT Support Specialist. Attend company orientation. Attend the company orientation covering organization, workplace practices and key contacts.. Owner: HR."
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T10,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Employee,Security,1,True,Training completion record,Complete security awareness training,Employee,Please complete the required security training.,Escalate to Security/HR if overdue.,Synthetic onboarding guide,G018,IT Support Specialist. Complete security awareness training. Complete mandatory security and acceptable-use training before full access is granted.. Owner: Security.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T11,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Employee,Manager,1,True,Manager meeting confirmation,Complete the manager onboarding meeting,Employee,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,Synthetic onboarding guide,G018,IT Support Specialist. Meet reporting manager. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.. Owner: Manager.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T12,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Employee,Manager,3,True,Team introduction confirmation,Complete the team introduction activities,Employee,Please complete your team introductions.,Escalate to manager if not completed.,Synthetic onboarding guide,G018,IT Support Specialist. Complete team introduction. Meet key team members and understand team communication and collaboration practices.. Owner: Manager.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T13,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Employee,Manager,5,True,Onboarding plan acknowledgement,Review the role-specific onboarding plan,Employee,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,Synthetic onboarding guide,G018,"IT Support Specialist. Review role-specific onboarding plan. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.. Owner: Manager."
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T14,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,Employee,IT,5,True,Access confirmation or access issue,Confirm required system access,Employee,Please confirm that you can access the required systems.,Escalate missing access to IT.,Synthetic onboarding guide,G018,IT Support Specialist. Confirm required access. Employee confirms that all required systems and applications are accessible and reports missing access.. Owner: IT.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T15,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Employee,Manager,7,True,Check-in confirmation,Complete the manager check-in,Employee,Please complete your first-week manager check-in.,Escalate to manager if not completed.,Synthetic onboarding guide,G018,"IT Support Specialist. Complete first-week check-in. Complete a structured check-in with the manager to review progress, blockers and next priorities.. Owner: Manager."
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T16,16,Role Setup,Support Tools,Get service desk access,Receive access to approved ticketing and support tools.,IT,IT Manager,3,True,Task completion confirmation,Complete or confirm: Get service desk access,IT,Please complete the required onboarding task: Get service desk access.,Escalate to the role manager if Get service desk access is overdue.,Synthetic role-specific guide,G018,IT Support Specialist. Get service desk access. Receive access to approved ticketing and support tools.. Owner: IT Manager.
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T17,17,Role Setup,Support Process,Review ticket triage process,"Review ticket categorization, prioritization and escalation.",Employee,IT Manager,5,True,Task completion confirmation,Complete or confirm: Review ticket triage process,Employee,Please complete the required onboarding task: Review ticket triage process.,Escalate to the role manager if Review ticket triage process is overdue.,Synthetic role-specific guide,G018,"IT Support Specialist. Review ticket triage process. Review ticket categorization, prioritization and escalation.. Owner: IT Manager."
G018,IT Support Specialist,IT,Individual Contributor,Technical,G018-T18,18,Role Setup,Knowledge Base,Review support knowledge base,Review common support procedures and approved knowledge resources.,Employee,IT Manager,5,True,Task completion confirmation,Complete or confirm: Review support knowledge base,Employee,Please complete the required onboarding task: Review support knowledge base.,Escalate to the role manager if Review support knowledge base is overdue.,Synthetic role-specific guide,G018,IT Support Specialist. Review support knowledge base. Review common support procedures and approved knowledge resources.. Owner: IT Manager.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T01,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,Employee,HR,0,True,Identity documents submitted,Request the missing identity document,HR,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Submit identity verification documents. Upload the required identity documents for employment verification.. Owner: HR.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T02,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,Employee,HR,0,True,Signed employment agreement,Complete and sign the employment agreement,HR,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Review and sign employment agreement. Review the employment agreement and electronically sign it before the joining date.. Owner: HR.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T03,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Employee,Finance/HR,1,True,Payroll information submitted,Submit the missing payroll information,Employee,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Submit payroll and bank information. Provide the approved payroll information required to process salary payments.. Owner: Finance/HR.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T04,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,Employee,HR,1,True,Completed HR form,Complete the employee information form,Employee,Please complete your employee information form.,Escalate to HR if incomplete.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.. Owner: HR.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T05,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,Employee,HR,2,True,Policy acknowledgement,Review and acknowledge required policies,Employee,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.. Owner: HR.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T06,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,1,True,Email activation confirmation,IT should create and activate the company email,IT,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Create company email account. IT creates the employee's corporate email account and confirms activation.. Owner: IT.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T07,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,2,True,Device assignment confirmation,IT should provision and assign the workstation,IT,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Provision laptop/workstation. IT prepares the approved laptop or workstation and records the device assignment.. Owner: IT.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T08,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,2,True,Access provisioning record,IT should provision standard role access,IT,Your standard system access is being prepared.,Escalate to IT if access is overdue.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Provision standard system access. IT provisions the standard applications and access required for the employee's role.. Owner: IT.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T09,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",Employee,HR,0,True,Orientation attendance,Attend the company orientation,Employee,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,Synthetic onboarding guide,G019,"Cybersecurity Analyst. Attend company orientation. Attend the company orientation covering organization, workplace practices and key contacts.. Owner: HR."
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T10,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Employee,Security,1,True,Training completion record,Complete security awareness training,Employee,Please complete the required security training.,Escalate to Security/HR if overdue.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Complete security awareness training. Complete mandatory security and acceptable-use training before full access is granted.. Owner: Security.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T11,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Employee,Manager,1,True,Manager meeting confirmation,Complete the manager onboarding meeting,Employee,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Meet reporting manager. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.. Owner: Manager.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T12,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Employee,Manager,3,True,Team introduction confirmation,Complete the team introduction activities,Employee,Please complete your team introductions.,Escalate to manager if not completed.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Complete team introduction. Meet key team members and understand team communication and collaboration practices.. Owner: Manager.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T13,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Employee,Manager,5,True,Onboarding plan acknowledgement,Review the role-specific onboarding plan,Employee,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,Synthetic onboarding guide,G019,"Cybersecurity Analyst. Review role-specific onboarding plan. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.. Owner: Manager."
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T14,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,Employee,IT,5,True,Access confirmation or access issue,Confirm required system access,Employee,Please confirm that you can access the required systems.,Escalate missing access to IT.,Synthetic onboarding guide,G019,Cybersecurity Analyst. Confirm required access. Employee confirms that all required systems and applications are accessible and reports missing access.. Owner: IT.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T15,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Employee,Manager,7,True,Check-in confirmation,Complete the manager check-in,Employee,Please complete your first-week manager check-in.,Escalate to manager if not completed.,Synthetic onboarding guide,G019,"Cybersecurity Analyst. Complete first-week check-in. Complete a structured check-in with the manager to review progress, blockers and next priorities.. Owner: Manager."
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T16,16,Role Setup,Security Tools,Get security monitoring access,Receive approved access to security monitoring and investigation tools.,IT,Security,3,True,Task completion confirmation,Complete or confirm: Get security monitoring access,IT,Please complete the required onboarding task: Get security monitoring access.,Escalate to the role manager if Get security monitoring access is overdue.,Synthetic role-specific guide,G019,Cybersecurity Analyst. Get security monitoring access. Receive approved access to security monitoring and investigation tools.. Owner: Security.
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T17,17,Role Setup,Incident Response,Review incident response process,"Review approved security incident detection, triage and escalation.",Employee,Security Manager,5,True,Task completion confirmation,Complete or confirm: Review incident response process,Employee,Please complete the required onboarding task: Review incident response process.,Escalate to the role manager if Review incident response process is overdue.,Synthetic role-specific guide,G019,"Cybersecurity Analyst. Review incident response process. Review approved security incident detection, triage and escalation.. Owner: Security Manager."
G019,Cybersecurity Analyst,Cybersecurity,Individual Contributor,Technical,G019-T18,18,Role Setup,Security Policy,Review security policies,Review applicable security policies and reporting requirements.,Employee,Security Manager,5,True,Task completion confirmation,Complete or confirm: Review security policies,Employee,Please complete the required onboarding task: Review security policies.,Escalate to the role manager if Review security policies is overdue.,Synthetic role-specific guide,G019,Cybersecurity Analyst. Review security policies. Review applicable security policies and reporting requirements.. Owner: Security Manager.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T01,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,Employee,HR,0,True,Identity documents submitted,Request the missing identity document,HR,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,Synthetic onboarding guide,G020,Security Engineer. Submit identity verification documents. Upload the required identity documents for employment verification.. Owner: HR.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T02,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,Employee,HR,0,True,Signed employment agreement,Complete and sign the employment agreement,HR,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,Synthetic onboarding guide,G020,Security Engineer. Review and sign employment agreement. Review the employment agreement and electronically sign it before the joining date.. Owner: HR.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T03,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Employee,Finance/HR,1,True,Payroll information submitted,Submit the missing payroll information,Employee,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,Synthetic onboarding guide,G020,Security Engineer. Submit payroll and bank information. Provide the approved payroll information required to process salary payments.. Owner: Finance/HR.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T04,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,Employee,HR,1,True,Completed HR form,Complete the employee information form,Employee,Please complete your employee information form.,Escalate to HR if incomplete.,Synthetic onboarding guide,G020,Security Engineer. Complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.. Owner: HR.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T05,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,Employee,HR,2,True,Policy acknowledgement,Review and acknowledge required policies,Employee,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,Synthetic onboarding guide,G020,Security Engineer. Acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.. Owner: HR.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T06,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,1,True,Email activation confirmation,IT should create and activate the company email,IT,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,Synthetic onboarding guide,G020,Security Engineer. Create company email account. IT creates the employee's corporate email account and confirms activation.. Owner: IT.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T07,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,2,True,Device assignment confirmation,IT should provision and assign the workstation,IT,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,Synthetic onboarding guide,G020,Security Engineer. Provision laptop/workstation. IT prepares the approved laptop or workstation and records the device assignment.. Owner: IT.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T08,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,2,True,Access provisioning record,IT should provision standard role access,IT,Your standard system access is being prepared.,Escalate to IT if access is overdue.,Synthetic onboarding guide,G020,Security Engineer. Provision standard system access. IT provisions the standard applications and access required for the employee's role.. Owner: IT.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T09,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",Employee,HR,0,True,Orientation attendance,Attend the company orientation,Employee,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,Synthetic onboarding guide,G020,"Security Engineer. Attend company orientation. Attend the company orientation covering organization, workplace practices and key contacts.. Owner: HR."
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T10,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Employee,Security,1,True,Training completion record,Complete security awareness training,Employee,Please complete the required security training.,Escalate to Security/HR if overdue.,Synthetic onboarding guide,G020,Security Engineer. Complete security awareness training. Complete mandatory security and acceptable-use training before full access is granted.. Owner: Security.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T11,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Employee,Manager,1,True,Manager meeting confirmation,Complete the manager onboarding meeting,Employee,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,Synthetic onboarding guide,G020,Security Engineer. Meet reporting manager. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.. Owner: Manager.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T12,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Employee,Manager,3,True,Team introduction confirmation,Complete the team introduction activities,Employee,Please complete your team introductions.,Escalate to manager if not completed.,Synthetic onboarding guide,G020,Security Engineer. Complete team introduction. Meet key team members and understand team communication and collaboration practices.. Owner: Manager.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T13,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Employee,Manager,5,True,Onboarding plan acknowledgement,Review the role-specific onboarding plan,Employee,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,Synthetic onboarding guide,G020,"Security Engineer. Review role-specific onboarding plan. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.. Owner: Manager."
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T14,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,Employee,IT,5,True,Access confirmation or access issue,Confirm required system access,Employee,Please confirm that you can access the required systems.,Escalate missing access to IT.,Synthetic onboarding guide,G020,Security Engineer. Confirm required access. Employee confirms that all required systems and applications are accessible and reports missing access.. Owner: IT.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T15,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Employee,Manager,7,True,Check-in confirmation,Complete the manager check-in,Employee,Please complete your first-week manager check-in.,Escalate to manager if not completed.,Synthetic onboarding guide,G020,"Security Engineer. Complete first-week check-in. Complete a structured check-in with the manager to review progress, blockers and next priorities.. Owner: Manager."
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T16,16,Role Setup,Security Tools,Get security engineering access,Receive approved access to security engineering tools and environments.,IT,Security,3,True,Task completion confirmation,Complete or confirm: Get security engineering access,IT,Please complete the required onboarding task: Get security engineering access.,Escalate to the role manager if Get security engineering access is overdue.,Synthetic role-specific guide,G020,Security Engineer. Get security engineering access. Receive approved access to security engineering tools and environments.. Owner: Security.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T17,17,Role Setup,Security Architecture,Review security architecture,Review approved security controls and architecture.,Employee,Security Manager,5,True,Task completion confirmation,Complete or confirm: Review security architecture,Employee,Please complete the required onboarding task: Review security architecture.,Escalate to the role manager if Review security architecture is overdue.,Synthetic role-specific guide,G020,Security Engineer. Review security architecture. Review approved security controls and architecture.. Owner: Security Manager.
G020,Security Engineer,Cybersecurity,Individual Contributor,Technical,G020-T18,18,Role Setup,Change Management,Review security change process,"Review testing, approval and deployment requirements for security changes.",Employee,Security Manager,5,True,Task completion confirmation,Complete or confirm: Review security change process,Employee,Please complete the required onboarding task: Review security change process.,Escalate to the role manager if Review security change process is overdue.,Synthetic role-specific guide,G020,"Security Engineer. Review security change process. Review testing, approval and deployment requirements for security changes.. Owner: Security Manager."
G021,Product Manager,Product,Manager,Business,G021-T01,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,Employee,HR,0,True,Identity documents submitted,Request the missing identity document,HR,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,Synthetic onboarding guide,G021,Product Manager. Submit identity verification documents. Upload the required identity documents for employment verification.. Owner: HR.
G021,Product Manager,Product,Manager,Business,G021-T02,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,Employee,HR,0,True,Signed employment agreement,Complete and sign the employment agreement,HR,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,Synthetic onboarding guide,G021,Product Manager. Review and sign employment agreement. Review the employment agreement and electronically sign it before the joining date.. Owner: HR.
G021,Product Manager,Product,Manager,Business,G021-T03,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Employee,Finance/HR,1,True,Payroll information submitted,Submit the missing payroll information,Employee,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,Synthetic onboarding guide,G021,Product Manager. Submit payroll and bank information. Provide the approved payroll information required to process salary payments.. Owner: Finance/HR.
G021,Product Manager,Product,Manager,Business,G021-T04,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,Employee,HR,1,True,Completed HR form,Complete the employee information form,Employee,Please complete your employee information form.,Escalate to HR if incomplete.,Synthetic onboarding guide,G021,Product Manager. Complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.. Owner: HR.
G021,Product Manager,Product,Manager,Business,G021-T05,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,Employee,HR,2,True,Policy acknowledgement,Review and acknowledge required policies,Employee,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,Synthetic onboarding guide,G021,Product Manager. Acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.. Owner: HR.
G021,Product Manager,Product,Manager,Business,G021-T06,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,1,True,Email activation confirmation,IT should create and activate the company email,IT,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,Synthetic onboarding guide,G021,Product Manager. Create company email account. IT creates the employee's corporate email account and confirms activation.. Owner: IT.
G021,Product Manager,Product,Manager,Business,G021-T07,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,2,True,Device assignment confirmation,IT should provision and assign the workstation,IT,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,Synthetic onboarding guide,G021,Product Manager. Provision laptop/workstation. IT prepares the approved laptop or workstation and records the device assignment.. Owner: IT.
G021,Product Manager,Product,Manager,Business,G021-T08,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,2,True,Access provisioning record,IT should provision standard role access,IT,Your standard system access is being prepared.,Escalate to IT if access is overdue.,Synthetic onboarding guide,G021,Product Manager. Provision standard system access. IT provisions the standard applications and access required for the employee's role.. Owner: IT.
